VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
72,61,Jyothi Urs,28,2,0
73,62,Santosh Bhat,50,1,0
74,63,Roopa Rai,46,2,0
75,65,Swathi,39,2,0
76,67,Anthony Nayak,40,1,0
77,68,Harish Naik,41,1,0
78,69,Iqbal,49,1,0
79,71,Sunil Naik,47,1,0
80,72,Naveen Naik,69,1,0
81,73,Basavaraj,51,1,0
82,75,Swathi Rai,25,2,0
83,77,Nagaraj Kulkarni,58,1,0
84,78,Arjun,70,1,0
85,79,Deepak Reddy,33,1,0
86,79,Santosh Shetty,18,1,0
87,79,Muthu,52,1,0
88,80,Karthik,37,1,1
89,82,Ashok Reddy,69,1,0
90,83,Mahesh,9,1,0
91,86,Swathi,41,2,0
92,87,Ravi Patil,75,1,0
93,88,Sowmya Poojari,26,2,0
94,89,Ravi,78,1,0
95,91,Geetha,79,2,0
96,92,Imran,24,1,0
97,93,Manoj,21,1,0
98,94,Shanthi,64,2,0
99,95,Fathima Shetty,13,2,0
100,96,Manjula,9,2,0
101,97,Yogesh Iyer,34,1,0
102,98,Naveen,19,1,0
103,100,Suresh,56,1,0
104,101,Rekha Shetty,51,2,0
105,102,Deepak Rai,70,1,0
106,103,Manjula,21,2,0
107,104,Divya,66,2,0
108,105,Chandru,52,1,0
109,106,Ganesh Naidu,31,1,0
110,107,Thomas,62,1,0
111,108,Joseph,59,1,0
112,108,Anand Prasad,31,1,0
113,108,Sowmya Setty,45,2,0
114,110,Rohit,47,1,0
115,110,Nagaraj Prasad,34,1,0
116,111,Swathi Patil,27,2,0
117,112,Vijay Reddy,29,1,0
118,113,Sheela Reddy,27,2,0
119,114,Rohit Poojari,24,1,0
120,115,Thomas Patil,33,1,0
121,115,Shankar,42,1,0
122,116,Usha,34,2,0
123,118,Muthu Poojari,36,1,0
124,119,Iqbal,28,1,0
125,119,Vijay Naidu,45,1,0
126,119,Santosh Reddy,19,1,0
127,119,Yogesh,44,1,0
128,119,Sarala Achar,60,2,0
129,120,Ramesh,61,1,0
130,121,Fathima Gowda,17,2,0
131,122,Roopa Desai,42,2,0
132,123,Ayesha Bhat,47,2,0
133,124,Santosh Naidu,67,1,0
134,125,Mary Desai,70,2,0
135,126,Nagaraj,70,1,0
136,127,Iqbal Achar,61,1,0
137,127,Sarala Desai,18,2,0
138,127,Sarala,64,2,0
139,128,Meena,22,2,0
140,130,Vijay,40,1,0
141,131,Jyothi Poojari,29,2,0
142,132,Bhavani Shetty,21,2,0
143,133,Vani,65,2,0
144,134,Nandini Setty,32,2,0
145,135,Nirmala Gowda,45,2,0
146,136,Divya,34,2,0
147,137,Prakash Nayak,59,1,0
148,139,Rafiq,61,1,0
149,142,Anand Nayak,9,1,0
150,143,Sudha Iyer,47,2,0
151,145,Rafiq Kulkarni,42,1,0
152,147,Vani Iyer,40,2,0
153,148,Rafiq,23,1,0
154,149,Manoj Urs,21,1,0
155,150,Ganesh Setty,68,1,0
156,150,Radha,52,2,0
157,151,Lakshmi Hegde,20,2,0
158,152,Shobha Achar,34,2,0
159,155,Swathi Reddy,17,2,0
160,156,Arjun Poojari,48,1,0
161,157,Vijay Urs,5,1,0
162,158,Lakshmi,25,2,0
163,159,Naveen Naik,68,1,0
164,159,Naveen Hegde,25,1,0
165,160,Kamala,42,2,0
166,161,Selvam Kumar,24,1,0
167,162,Deepak,59,1,0
168,163,Shankar,56,1,0
169,164,Anthony,26,1,0
170,166,Chaitra Naik,54,2,0
171,166,Chaitra,62,2,0
172,167,Selvam,29,1,0
173,168,Nagaraj Kumar,61,1,0
174,168,Shobha Hegde,32,2,0
175,168,Shankar Naidu,36,1,0
176,169,Raju Poojari,49,1,0
177,170,Rekha,16,2,0
178,171,Sheela,50,2,0
179,172,Geetha Kumar,48,2,0
180,173,Girija Shetty,34,2,0
181,174,Chandru Kumar,30,1,0
182,175,Vijay Setty,72,1,0
183,175,Kavitha Rai,20,2,0
184,176,Shankar Kumar,26,1,0
185,177,Arjun,67,1,0
186,178,Rafiq Bhat,28,1,0
187,179,Rohit Rao,14,1,0
188,180,Ganesh Kumar,58,1,0
189,181,Deepak Patil,60,1,0
190,182,Imran Naidu,32,1,0
191,183,Karthik Hegde,21,1,0
192,183,Vani,67,2,0
193,184,Savitri Nayak,55,2,0
194,185,Arjun Hegde,27,1,0
195,186,Shobha Patil,64,2,0
196,188,Arjun,65,1,0
197,188,Vani,46,2,0
198,188,Rekha Setty,42,2,0
199,189,Jyothi Achar,23,2,0
200,190,Vinod Setty,35,1,0
201,190,Sunil Shetty,36,1,0
202,191,Santosh,71,1,0
203,192,Savitri Achar,36,2,0
204,193,Kavitha Rai,64,2,0
205,194,Pallavi Achar,10,2,0
206,195,Ashok Rao,31,1,0
207,195,Vinod,29,1,0
208,195,Santosh,29,1,0
209,196,Naveen Nayak,71,1,0
210,197,Karthik Kulkarni,73,1,0
211,198,Nirmala,54,2,0
212,199,Imran,40,1,0
213,199,Sowmya,46,2,0
214,202,Savitri,54,2,0
215,203,Anand Rao,50,1,0
216,205,Bhavani Gowda,25,2,0
217,206,Kamala Setty,26,2,0
218,209,Nagaraj Urs,73,1,0
219,210,Harish,25,1,0
220,210,Ayesha Gowda,43,2,0
221,211,Swathi Naik,40,2,0
222,212,Selvam,39,1,0
223,213,Meena Achar,51,2,0
224,213,Kiran Patil,17,1,0
225,214,Harish Poojari,60,1,0
226,215,Shobha Prasad,89,2,0
227,217,Shobha,35,2,0
228,218,Ashok Gowda,25,1,0
229,220,Priya,24,2,0
230,222,Priya Desai,23,2,0
231,225,Shankar Poojari,74,1,0
232,226,Karthik Desai,12,1,0
233,227,Joseph,39,1,0
234,228,Iqbal,40,1,0
235,229,Deepak,37,1,0
236,230,Manjunath Hegde,46,1,0
237,230,Anand,51,1,0
238,230,Manjunath Urs,46,1,0
239,233,Anitha Reddy,58,2,1
240,234,Thomas,67,1,0
241,235,Fathima,45,2,0
242,236,Ayesha Prasad,36,2,0
243,237,Vinod Desai,38,1,0
244,238,Fathima,35,2,0
245,239,Lakshmi Kulkarni,38,2,0
246,239,Rashmi,56,2,0
247,239,Manjunath,38,1,0
248,240,Imran Gowda,45,1,0
249,243,Raju,24,1,0
250,244,Divya Prasad,26,2,0
251,245,Ganesh Iyer,55,1,0
252,246,Vani,3,2,0
253,247,Nirmala Rai,70,2,0
254,248,Vijay Naik,57,1,0
255,252,Bhavani Reddy,44,2,0
256,253,Shankar Naidu,35,1,0
257,254,Ramesh Rai,27,1,0
258,255,Manjunath Setty,24,1,0
259,256,Sowmya Patil,17,2,0
260,258,Geetha Setty,44,2,0
261,260,Girish Bhat,43,1,0
262,260,Iqbal Setty,20,1,0
263,261,Divya,52,2,0
264,263,Vinod Patil,79,1,0
265,264,Radha Desai,24,2,0
266,265,Thomas,39,1,0
267,266,Meena,41,2,0
268,267,Prema Kulkarni,43,2,0
269,268,Anitha Kulkarni,39,2,0
270,269,Kamala,22,2,0
271,270,Yogesh Urs,41,1,0
272,270,Arjun,64,1,0
273,271,Sudha Reddy,56,2,0
274,271,Deepa,55,2,0
275,271,Naveen Naik,68,1,0
276,272,Usha Reddy,21,2,0
277,273,Shanthi Desai,39,2,0
278,274,Anitha,26,2,0
279,274,Imran,43,1,0
280,274,Kamala Poojari,43,2,0
281,275,Vani Prasad,20,2,0
282,276,Basavaraj Naik,20,1,0
283,276,Ashok,56,1,0
284,278,Roopa,45,2,0
285,279,Chandru,5,1,0
286,281,Ramesh Iyer,64,1,0
287,282,Ayesha,40,2,0
288,283,Selvam Iyer,51,1,0
289,285,Latha Shetty,63,2,0
290,286,Anthony Poojari,71,1,0
291,287,Prema,67,2,0
292,288,Shanthi,36,2,0
293,289,Prema,45,2,1
294,290,Imran,62,1,0
295,291,Rafiq,61,1,0
296,292,Kamala,28,2,0
297,293,Anthony Naik,31,1,0
298,295,Deepak Setty,62,1,0
299,297,Girija Rao,69,2,0
300,298,Savitri,81,2,0
301,299,Ravi Rao,67,1,0
302,301,Prema Gowda,64,2,0
303,302,Manjunath,27,1,0
304,303,Basavaraj,28,1,0
305,304,Anand,70,1,0
306,305,Thomas,33,1,0
307,305,Vinod,24,1,0
308,308,Nirmala Poojari,23,2,0
309,310,Sudha,42,2,1
310,311,Priya Desai,71,2,0
311,313,Harish Urs,39,1,0
312,314,Shanthi Naidu,46,2,0
313,315,Rashmi,43,2,0
314,316,Rekha,56,2,0
315,318,Suresh,52,1,0
316,318,Ganesh Kumar,22,1,0
317,319,Sarala Kumar,51,2,0
318,321,Santosh Reddy,38,1,0
319,322,Roopa,38,2,0
320,323,Sunil,52,1,0
321,324,Anitha,42,2,0
322,325,Priya Poojari,63,2,0
323,326,Anand Prasad,30,1,0
324,328,Yogesh Reddy,10,1,0
325,329,Rafiq,23,1,0
326,329,Karthik,22,1,0
327,329,Swathi,64,2,0
328,330,Meena Prasad,20,2,0
329,331,Shanthi,29,2,0
330,332,Kavitha Rao,51,2,0
331,333,Pallavi,25,2,0
332,334,Srinivas,71,1,0
333,335,Sowmya Naik,66,2,0
334,337,Kavitha,47,2,0
335,338,Manjunath Hegde,56,1,0
336,338,Rashmi Rai,37,2,0
337,338,Kamala Nayak,62,2,0
338,338,Karthik Gowda,43,1,0
339,338,Manoj,57,1,0
340,339,Mahesh Kumar,59,1,0
341,340,Savitri,9,2,0
342,341,Girish,58,1,0
343,342,Rafiq,22,1,0
344,342,Priya Patil,39,2,0
345,342,Jyothi Gowda,50,2,0
346,342,Thomas Kumar,33,1,0
347,342,Geetha Desai,53,2,0
348,343,Chaitra Shetty,50,2,0
349,344,Bhavani,19,2,0
350,345,Geetha,38,2,0
351,346,Roopa Bhat,25,2,0
352,347,Sudha Setty,29,2,0
353,349,Rekha,74,2,0
354,352,Anitha Kulkarni,69,2,0
355,353,Suresh Iyer,74,1,0
356,355,Rafiq Achar,72,1,0
357,356,Chaitra,19,2,0
358,357,Ravi Iyer,43,1,0
359,358,Rafiq Gowda,23,1,0
360,359,Sarala Naidu,72,2,0
361,360,Shankar Prasad,73,1,0
362,361,Rohit,66,1,0
363,361,Nagaraj Gowda,59,1,0
364,362,Sarala Patil,4,2,0
365,363,Ramesh Rai,21,1,0
366,366,Ashok,56,1,0
367,367,Girish Urs,25,1,0
368,368,Fathima Iyer,36,2,0
369,369,Ayesha,60,2,0
370,370,Joseph,77,1,0
371,372,Girish Shetty,9,1,0
372,373,Yogesh,35,1,0
373,374,Deepa,16,2,0
374,375,Manjunath Setty,64,1,0
375,376,Rekha,61,2,0
376,377,Basavaraj,56,1,0
377,377,Ravi Desai,66,1,0
378,379,Kamala,20,2,0
379,380,Ayesha,39,2,0
380,381,Lakshmi Rai,18,2,0
381,382,Suresh Iyer,52,1,0
382,385,Swathi Bhat,45,2,0
383,386,Vani Urs,58,2,0
384,387,Usha,40,2,0
385,388,Manoj Naik,27,1,0
386,389,Rohit Naidu,39,1,0
387,391,Deepa Iyer,44,2,0
388,393,Kiran,66,1,0
389,394,Roopa,33,2,0
390,395,Manjula,8,2,0
391,396,Iqbal,65,1,0
392,397,Karthik,80,1,0
393,398,Rashmi,46,2,0
394,399,Sowmya Naidu,40,2,0
395,399,Roopa Urs,43,2,0
396,399,Karthik,35,1,0
397,400,Deepak,72,1,0
398,401,Ashok,29,1,0
399,402,Sowmya Achar,75,2,0
400,403,Manjunath Rao,34,1,0
401,403,Arjun,41,1,0
402,405,Anitha Rai,27,2,0
403,406,Joseph Naidu,55,1,0
404,408,Basavaraj,54,1,0
405,409,Roopa,34,2,0
406,411,Chandru,30,1,0
407,412,Shobha,2,2,0
408,413,Mahesh Poojari,44,1,0
409,414,Sarala Shetty,26,2,0
410,415,Muthu Gowda,66,1,0
411,417,Girija Rao,47,2,0
412,418,Yogesh Patil,65,1,0
413,419,Prakash Desai,67,1,0
414,421,Prakash,51,1,0
415,422,Shanthi Bhat,44,2,0
416,422,Raju,32,1,0
417,423,Naveen,53,1,0
418,424,Rashmi Kulkarni,76,2,0
419,425,Bhavani,38,2,0
420,427,Joseph,11,1,0
421,428,Yogesh Nayak,9,1,0
422,430,Santosh Naidu,5,1,0
423,431,Sowmya Nayak,54,2,0
424,433,Arjun Shetty,11,1,0
425,434,Yogesh,15,1,0
426,435,Vani Rao,41,2,0
427,436,Raju,53,1,0
428,437,Sudha Bhat,64,2,0
429,438,Rohit Rao,26,1,0
430,439,Sheela Naik,42,2,0
431,440,Chandru,26,1,0
432,441,Bhavani,11,2,0
433,442,Shobha Hegde,27,2,0
434,442,Rashmi,60,2,0
435,444,Ramesh Nayak,27,1,0
436,445,Manjunath Urs,40,1,0
437,446,Manjula Kulkarni,66,2,0
438,447,Shanthi Kulkarni,56,2,0
439,448,Lakshmi Hegde,62,2,0
440,448,Sheela,59,2,0
441,449,Basavaraj,65,1,0
442,451,Kamala Naik,4,2,0
443,452,Muthu,28,1,0
444,453,Chaitra Urs,67,2,0
445,453,Vijay,48,1,0
446,454,Iqbal Bhat,49,1,0
447,455,Shanthi Naidu,62,2,0
448,456,Prema,35,2,0
449,457,Sudha,17,2,0
450,458,Suresh Prasad,6,1,0
451,462,Sunil,79,1,0
452,463,Vijay Prasad,75,1,0
453,465,Kamala,71,2,0
454,466,Mary Patil,38,2,0
455,467,Anand Patil,28,1,0
456,468,Girija Rai,18,2,0
457,469,Ganesh,18,1,0
458,469,Divya,16,2,0
459,470,Nirmala Rai,48,2,0
460,471,Raju Urs,52,1,0
461,471,Naveen Poojari,58,1,0
462,471,Chaitra,34,2,0
463,471,Rafiq,32,1,0
464,473,Suresh,79,1,0
465,474,Rohit Naidu,90,1,0
466,475,Pallavi Kulkarni,55,2,0
467,476,Girish Naik,61,1,0
468,478,Anthony Nayak,54,1,0
469,479,Sowmya,39,2,0
470,480,Nirmala Gowda,52,2,1
471,481,Roopa,18,2,0
472,482,Chaitra Desai,65,2,0
473,482,Joseph,50,1,0
474,482,Santosh Hegde,37,1,0
475,482,Naveen,34,1,0
476,483,Kiran,42,1,0
477,486,Nagaraj Kumar,66,1,0
478,487,Usha Hegde,40,2,0
479,488,Rashmi Naidu,45,2,0
480,490,Fathima Nayak,19,2,0
481,491,Vinod,39,1,0
482,493,Rekha Rai,40,2,0
483,494,Fathima,79,2,0
484,495,Karthik Iyer,62,1,0
485,496,Thomas Urs,43,1,0
486,498,Iqbal Kulkarni,57,1,0
487,498,Raju,44,1,0
488,499,Thomas Desai,40,1,0
489,500,Manoj Kumar,25,1,0
490,501,Prema,56,2,0
491,502,Basavaraj Bhat,56,1,0
492,502,Vani,44,2,0
493,503,Imran,56,1,0
494,505,Anitha Rao,86,2,0
495,506,Girish,69,1,0
496,509,Fathima,61,2,0
497,509,Joseph,26,1,0
498,509,Priya Shetty,60,2,0
499,509,Anthony,33,1,0
500,509,Sarala Rai,36,2,0
501,509,Sowmya Setty,65,2,0
502,510,Raju,35,1,0
503,511,Usha Iyer,52,2,0
504,513,Yogesh Kumar,51,1,0
505,514,Naveen Reddy,60,1,0
506,516,Ayesha Kumar,40,2,0
507,517,Sarala,58,2,0
508,518,Sheela Prasad,14,2,0
509,519,Deepak Shetty,48,1,0
510,520,Santosh,55,1,0
511,521,Kavitha,66,2,0
512,522,Iqbal,19,1,0
513,522,Shanthi,69,2,0
514,522,Kamala,59,2,0
515,522,Anthony,58,1,0
516,522,Rafiq,53,1,0
517,523,Sudha Gowda,26,2,0
518,523,Nagaraj,51,1,0
519,525,Sheela Gowda,64,2,0
520,526,Ramesh Shetty,65,1,0
521,527,Geetha,31,2,0
522,529,Yogesh Shetty,89,1,0
523,533,Santosh Kumar,24,1,0
524,534,Geetha,58,2,0
525,535,Girish,30,1,0
526,536,Vinod,58,1,0
527,537,Manoj Shetty,32,1,0
528,537,Manjula,49,2,0
529,538,Shobha Gowda,32,2,0
530,538,Savitri Rai,20,2,0
531,538,Vijay Poojari,58,1,0
532,539,Kavitha,39,2,0
533,540,Geetha,57,2,0
534,541,Ganesh,25,1,0
535,542,Vani,69,2,0
536,543,Ganesh Nayak,58,1,0
537,544,Basavaraj,64,1,0
538,544,Rafiq,24,1,1
539,545,Yogesh Setty,64,1,0
540,546,Manjula,50,2,0
541,547,Anitha,63,2,0
542,548,Pallavi Hegde,17,2,0
543,549,Karthik,40,1,0
544,549,Iqbal Patil,42,1,0
545,549,Rafiq Nayak,46,1,0
546,550,Girish,37,1,0
547,552,Geetha Setty,20,2,0
548,552,Srinivas Achar,38,1,0
549,553,Lakshmi,21,2,0
550,554,Deepak,32,1,0
551,556,Suresh Shetty,66,1,0
552,557,Ayesha Rao,69,2,0
553,559,Ramesh,22,1,0
554,560,Latha Reddy,17,2,0
555,561,Arjun,43,1,0
556,562,Sudha Patil,43,2,0
557,563,Deepa,35,2,0
558,565,Bhavani,20,2,0
559,566,Karthik,24,1,0
560,567,Ravi Hegde,55,1,0
561,568,Roopa Bhat,52,2,0
562,570,Fathima,31,2,0
563,571,Fathima,26,2,0
564,572,Lakshmi Poojari,44,2,0
565,573,Girija Reddy,29,2,0
566,575,Ashok,61,1,0
567,576,Anthony Patil,21,1,0
568,577,Yogesh,19,1,0
569,578,Ravi Rao,26,1,0
570,579,Yogesh Urs,49,1,0
571,580,Latha,47,2,0
572,583,Ravi,22,1,0
573,583,Karthik,48,1,0
574,584,Anitha,28,2,0
575,586,Radha,10,2,0
576,587,Sudha,45,2,0
577,588,Sowmya,26,2,0
578,589,Anthony,56,1,0
579,590,Karthik Setty,41,1,0
580,590,Iqbal Bhat,65,1,0
581,590,Suresh,31,1,0
582,591,Rohit Naidu,10,1,0
583,592,Muthu Hegde,33,1,0
584,594,Rekha Achar,26,2,0
585,595,Nagaraj,57,1,0
586,595,Sheela,77,2,0
587,597,Anitha Rai,46,2,0
588,598,Priya,37,2,0
589,600,Shanthi Kumar,57,2,0
590,601,Mahesh,56,1,0
591,602,Savitri Setty,50,2,0
592,602,Lakshmi Iyer,19,2,0
593,603,Sowmya,25,2,0
594,604,Srinivas Hegde,43,1,0
595,605,Joseph,30,1,0
596,606,Vani Hegde,33,2,0
597,607,Rohit,55,1,0
598,608,Iqbal Urs,44,1,0
599,610,Chandru,70,1,0
600,611,Sarala,63,2,0
601,612,Geetha,30,2,0
602,614,Raju Rao,55,1,0
603,614,Ganesh,75,1,1
604,615,Prema Reddy,34,2,0
605,617,Chaitra Nayak,23,2,0
606,618,Chaitra Rao,14,2,0
607,621,Roopa Iyer,22,2,0
608,622,Raju,47,1,0
609,623,Kavitha Rao,71,2,0
610,624,Arjun,55,1,0
611,625,Girija,28,2,0
612,626,Sudha Setty,26,2,0
613,627,Rafiq,32,1,0
614,628,Santosh,32,1,0
615,628,Roopa Naik,31,2,0
616,629,Basavaraj Prasad,44,1,0
617,630,Ashok,11,1,0
618,631,Fathima Prasad,33,2,0
619,632,Karthik Rao,63,1,0
620,633,Geetha Rai,22,2,0
621,634,Mary,34,2,0
622,635,Sowmya,50,2,0
623,636,Raju Setty,45,1,0
624,637,Geetha,16,2,0
625,638,Thomas,39,1,0
626,639,Anand Rao,27,1,0
627,641,Sheela,56,2,0
628,641,Rohit,28,1,0
629,642,Fathima Bhat,34,2,0
630,643,Anand,64,1,0
631,644,Mahesh Hegde,75,1,0
632,645,Rafiq,50,1,0
633,646,Usha,17,2,0
634,648,Sowmya,14,2,0
635,649,Thomas Reddy,45,1,0
636,651,Shankar,59,1,0
637,652,Sunil,69,1,0
638,652,Anitha Iyer,74,2,0
639,652,Shanthi,68,2,0
640,653,Rashmi,22,2,0
641,654,Chaitra Setty,73,2,0
642,655,Geetha Iyer,73,2,0
643,656,Geetha,75,2,0
644,657,Bhavani,30,2,0
645,658,Girija Nayak,37,2,0
646,659,Savitri,37,2,0
647,660,Ravi,55,1,0
648,661,Ramesh,56,1,0
649,662,Anitha Rao,51,2,0
650,663,Meena Prasad,40,2,0
651,665,Selvam Rao,33,1,0
652,666,Ashok Rai,11,1,0
653,668,Nirmala Naidu,58,2,0
654,669,Rekha Gowda,19,2,0
655,670,Raju Hegde,37,1,0
656,672,Nagaraj Shetty,87,1,0
657,674,Nirmala,21,2,0
658,675,Radha,51,2,0
659,676,Deepa,64,2,0
660,677,Arjun,50,1,0
661,678,Kamala Shetty,76,2,0
662,679,Prema,35,2,0
663,680,Basavaraj Shetty,73,1,0
664,682,Sunil Achar,31,1,0
665,683,Sunil Bhat,80,1,0
666,683,Joseph,40,1,0
667,686,Lakshmi Urs,50,2,0
668,686,Ayesha,54,2,0
669,687,Lakshmi,75,2,0
670,688,Ayesha,37,2,0
671,689,Arjun Nayak,32,1,0
672,689,Iqbal Iyer,17,1,0
673,689,Karthik Kulkarni,43,1,0
674,689,Mahesh Poojari,36,1,0
675,689,Srinivas Iyer,19,1,0
676,690,Yogesh Hegde,62,1,0
677,692,Vijay,21,1,0
678,693,Fathima Bhat,23,2,0
679,693,Manoj Bhat,27,1,0
680,693,Rashmi Rai,36,2,0
681,694,Santosh Achar,28,1,0
682,695,Ashok,34,1,0
683,695,Rekha Prasad,48,2,0
684,695,Manjula,50,2,0
685,696,Suresh,54,1,0
686,699,Nandini Urs,25,2,0
687,700,Lakshmi Rai,38,2,0
688,703,Shanthi,37,2,0
689,705,Sudha,55,2,0
690,705,Iqbal Naidu,57,1,0
691,705,Deepak,75,1,0
692,706,Divya,35,2,0
693,707,Pallavi,59,2,0
694,708,Ramesh,21,1,0
695,708,Mahesh Setty,27,1,0
696,709,Geetha,73,2,0
697,710,Sunil,45,1,0
698,712,Jyothi,62,2,0
699,712,Srinivas,35,1,0
700,712,Joseph,38,1,0
701,712,Arjun Rao,62,1,0
702,714,Karthik,74,1,0
703,715,Anitha,48,2,0
704,717,Harish Patil,54,1,0
705,718,Basavaraj,27,1,0
706,719,Manjunath,49,1,0
707,719,Ramesh,53,1,0
708,719,Anitha,51,2,0
709,719,Sarala Urs,45,2,0
710,719,Deepak Reddy,49,1,0
711,720,Rafiq Naidu,22,1,0
712,721,Chandru Nayak,45,1,0
713,722,Shanthi Bhat,37,2,0
714,723,Girish,7,1,0
715,724,Girish,18,1,0
716,724,Santosh,22,1,0
717,724,Manjula,49,2,0
718,726,Ravi Nayak,35,1,0
719,727,Ashok,33,1,0
720,730,Priya,51,2,0
721,731,Prakash,42,1,0
722,732,Kavitha,19,2,0
723,732,Srinivas,39,1,0
724,733,Anthony Hegde,80,1,0
725,734,Shankar Urs,27,1,0
726,734,Ravi,25,1,0
727,735,Prema,33,2,0
728,735,Selvam Naik,18,1,0
729,736,Shobha,62,2,0
730,737,Ganesh Rao,3,1,0
731,738,Arjun Hegde,41,1,0
732,739,Sunil Bhat,45,1,0
733,740,Nirmala,45,2,0
734,742,Chaitra Rai,32,2,0
735,743,Yogesh Setty,70,1,0
736,744,Rashmi,10,2,0
737,744,Nagaraj,60,1,0
738,745,Selvam Rao,18,1,0
739,746,Savitri Urs,72,2,0
740,747,Prakash,73,1,0
741,748,Geetha Hegde,44,2,0
742,749,Shobha,61,2,0
743,750,Naveen Kulkarni,22,1,0
744,751,Deepa Setty,62,2,0
745,752,Selvam,18,1,0
746,753,Vani Poojari,27,2,0
747,754,Iqbal,18,1,0
748,754,Arjun,40,1,0
749,756,Imran Kumar,54,1,0
750,756,Sunil Gowda,37,1,0
751,756,Radha Desai,48,2,0
752,757,Sarala Patil,65,2,0
753,758,Imran,50,1,0
754,758,Anthony,52,1,0
755,758,Sheela,43,2,0
756,758,Kavitha Naik,20,2,0
757,758,Selvam,48,1,0
758,758,Basavaraj,61,1,0
759,759,Ashok Nayak,48,1,0
760,760,Latha Hegde,20,2,0
761,760,Ashok,75,1,0
762,761,Radha,61,2,0
763,764,Vani,65,2,0
764,765,Kavitha Bhat,41,2,0
765,768,Anand,41,1,0
766,769,Harish Shetty,31,1,0
767,770,Sowmya Kumar,29,2,0
768,771,Thomas Achar,56,1,0
769,771,Joseph,47,1,0
770,771,Basavaraj Urs,31,1,0
771,771,Priya Setty,22,2,0
772,771,Girija Poojari,18,2,0
773,773,Sudha,34,2,0
774,773,Ashok Achar,65,1,0
775,773,Imran Bhat,74,1,0
776,775,Yogesh Poojari,25,1,0
777,776,Deepa Rao,39,2,0
778,778,Rashmi,83,2,0
779,779,Mary Nayak,61,2,0
780,780,Srinivas Poojari,18,1,0
781,781,Sarala,33,2,0
782,783,Thomas,53,1,0
783,784,Ashok,35,1,0
784,785,Deepak,63,1,0
785,789,Ramesh Desai,52,1,0
786,791,Sarala Naidu,38,2,0
787,791,Vijay Prasad,50,1,0
788,792,Deepa,60,2,0
789,793,Kavitha,75,2,0
790,795,Shanthi Iyer,15,2,0
791,796,Prakash Reddy,26,1,0
792,797,Jyothi,43,2,0
793,797,Nandini Prasad,37,2,0
794,797,Rashmi Setty,23,2,0
795,797,Harish Rai,46,1,0
796,797,Thomas Reddy,35,1,0
797,798,Meena Gowda,37,2,0
798,799,Meena Bhat,67,2,0
799,800,Nirmala Hegde,68,2,0
800,802,Priya Shetty,25,2,0
801,803,Mahesh Reddy,50,1,0
802,804,Lakshmi,55,2,0
803,805,Anitha,22,2,0
804,807,Mary Hegde,24,2,0
805,807,Selvam Hegde,61,1,0
806,807,Santosh Kumar,47,1,0
807,807,Priya Reddy,61,2,0
808,807,Santosh Kumar,45,1,0
809,808,Basavaraj,45,1,0
