AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
76,49,Ajay Urs,54,1,A5
77,49,Salim,51,1,A6
78,49,Shankar,43,1,A7
79,50,Somu Bhat,17,1,A1
80,51,Srinivas Desai,21,1,A1
81,52,Rohit Setty,26,1,A1
82,53,Somu Urs,51,1,A1
83,55,Deepa Rai,53,2,A1
84,57,Harish Patil,43,1,A1
85,58,Raghu,27,1,A1
86,58,Swathi,39,2,A2
87,59,Mahesh,55,1,A1
88,60,Shivu Naidu,43,1,A1
89,60,Shanthi Reddy,16,2,A2
90,61,Savitri,17,2,A1
91,61,Nasir Iyer,46,1,A2
92,61,Prema Naik,59,2,A3
93,61,Salim Reddy,42,1,A4
94,61,Santosh Urs,33,1,A5
95,62,Raghu Kumar,40,1,A1
96,62,Prakash,25,1,A2
97,63,Prakash Urs,32,1,A1
98,64,Girish,45,1,A1
99,66,Shobha Naik,50,2,A1
100,68,Karthik,51,1,A1
101,68,Raju Achar,49,1,A2
102,70,Prakash Gowda,52,1,A1
103,71,Mary,62,2,A1
104,72,Guru Nayak,39,1,A1
105,72,Sandeep,37,1,A2
106,72,Anwar,26,1,A3
107,74,Imran,30,1,A1
108,74,Vinod Hegde,45,1,A2
109,75,Prasad Sheikh,50,1,A1
110,76,Sunil,64,1,A1
111,76,Kamala Nayak,25,2,A2
112,77,Sagar Naidu,35,1,A1
113,77,Anwar Bhat,18,1,A2
114,78,Sandeep Nayak,45,1,A1
115,78,Ramesh Rai,23,1,A2
116,78,Yusuf Poojari,32,1,A3
117,78,Shabbir Iyer,42,1,A4
118,78,Prasad Rai,27,1,A5
119,78,Chandru Prasad,47,1,A6
120,79,Santosh,65,1,A1
121,79,Priya Reddy,20,2,A2
122,79,Somu Achar,54,1,A3
123,79,Radha Gowda,24,2,A4
124,79,Rohit Kumar,56,1,A5
125,79,Shankar,62,1,A6
126,79,Nasir Khan,34,1,A7
127,79,Selvam Rai,43,1,A8
128,79,Nagaraj,50,1,A9
129,79,Prakash,33,1,A10
130,80,Shanthi Naik,30,2,A1
131,81,Ashok,22,1,A1
132,82,Farooq,25,1,A1
133,83,Farooq,42,1,A1
134,84,Raju Bhat,24,1,A1
135,85,Shobha,19,2,A1
136,86,Vishal Hegde,54,1,A1
137,86,Vinod Naik,38,1,A2
138,86,Sagar Reddy,40,1,A3
139,88,Sarala,34,2,A1
140,89,Santosh,59,1,A1
141,89,Ramesh Poojari,39,1,A2
142,89,Salim Bhat,41,1,A3
143,90,Ashok Shetty,22,1,A1
144,91,Rukhsana Setty,20,2,A1
145,91,Rohit Sheikh,35,1,A2
146,92,Sandeep Urs,62,1,A1
147,93,Iqbal,32,1,A1
148,94,Girish Desai,37,1,A1
149,95,Ganesh,56,1,A1
150,96,Ganesh,56,1,A1
151,98,Suresh,64,1,A1
152,99,Yogesh Achar,48,1,A1
153,102,Srinivas Desai,17,1,A1
154,103,Mary Hegde,61,2,A1
155,105,Anwar Hegde,46,1,A1
156,105,Mahesh Hegde,41,1,A2
157,106,Anitha,38,2,A1
158,107,Iqbal Desai,37,1,A1
159,108,Sandeep,50,1,A1
160,108,Nasir,52,1,A2
161,108,Selvam Iyer,44,1,A3
162,109,Srinivas,61,1,A1
163,110,Chaitra,65,2,A1
164,110,Yusuf Setty,17,1,A2
165,110,Shankar,25,1,A3
166,110,Altaf Sheikh,18,1,A4
167,110,Sunil Naik,42,1,A5
168,110,Sandeep Naik,55,1,A6
169,110,Ashok Reddy,27,1,A7
170,110,Yogesh Kulkarni,47,1,A8
171,111,Raju Rai,18,1,A1
172,112,Karthik Reddy,57,1,A1
173,113,Pallavi,63,2,A1
174,113,Ashok,27,1,A2
175,113,Yusuf Iyer,44,1,A3
176,113,Nandini Naik,40,2,A4
177,113,Raghu,32,1,A5
178,113,Suresh,25,1,A6
179,113,Vinod Bhat,36,1,A7
180,113,Sagar Patil,64,1,A8
181,114,Mahesh,52,1,A1
182,115,Vishal Setty,16,1,A1
183,116,Guru Hegde,33,1,A1
184,117,Basavaraj,55,1,A1
185,118,Harish Sheikh,61,1,A1
186,119,Pallavi Iyer,19,2,A1
187,119,Anand,20,1,A2
188,119,Kavitha Shetty,56,2,A3
189,121,Karthik Shetty,22,1,A1
190,122,Kiran Kulkarni,39,1,A1
191,123,Arjun Shetty,54,1,A1
192,123,Raghu Desai,36,1,A2
193,123,Raghu Bhat,22,1,A3
194,124,Raju Nayak,36,1,A1
195,124,Yusuf,35,1,A2
196,124,Basavaraj Shetty,44,1,A3
197,125,Chandru Iyer,22,1,A1
198,125,Ganesh,45,1,A2
199,126,Ganesh Reddy,48,1,A1
200,126,Arjun Kulkarni,34,1,A2
201,127,Muthu Prasad,19,1,A1
202,127,Prakash Achar,30,1,A2
203,127,Yogesh Nayak,24,1,A3
204,127,Lakshmi,63,2,A4
205,127,Ajay Kumar,50,1,A5
206,128,Karthik Rai,38,1,A1
207,128,Muthu Iyer,26,1,A2
208,129,Basavaraj Naik,46,1,A1
209,130,Guru,22,1,A1
210,132,Latha Prasad,27,2,A1
211,133,Shivu Prasad,28,1,A1
212,133,Altaf Desai,60,1,A2
213,134,Somu Kulkarni,51,1,A1
214,135,Chandru Rao,57,1,A1
215,136,Raju Urs,29,1,A1
216,136,Arjun Desai,65,1,A2
217,136,Basavaraj,29,1,A3
218,138,Shanthi Setty,38,2,A1
219,139,Harish Gowda,23,1,A1
220,140,Chandru,32,1,A1
221,140,Manoj Reddy,62,1,A2
222,141,Nasir Nayak,26,1,A1
223,142,Srinivas Shetty,19,1,A1
224,142,Shabbir Urs,16,1,A2
225,143,Anwar Reddy,60,1,A1
226,144,Somu Khan,48,1,A1
227,145,Farooq Rao,29,1,A1
228,147,Deepak,53,1,A1
229,148,Naveen Prasad,17,1,A1
230,149,Radha,22,2,A1
231,150,Nagaraj Bhat,34,1,A1
232,150,Iqbal Naik,21,1,A2
233,150,Yogesh Rai,18,1,A3
234,151,Suresh,50,1,A1
235,152,Somu Setty,46,1,A1
236,152,Vani Setty,46,2,A2
237,152,Sandeep Desai,58,1,A3
238,152,Ganesh Rao,21,1,A4
239,152,Vani Setty,45,2,A5
240,152,Guru Khan,20,1,A6
241,152,Anand Nayak,28,1,A7
242,152,Somu,25,1,A8
243,153,Shankar,16,1,A1
244,154,Kiran,40,1,A1
245,155,Altaf,23,1,A1
246,156,Muthu Desai,46,1,A1
247,158,Muthu Nayak,48,1,A1
248,159,Santosh Urs,57,1,A1
249,160,Mahesh,44,1,A1
250,160,Karthik Reddy,34,1,A2
251,163,Nasir Hegde,59,1,A1
252,164,Prakash Urs,31,1,A1
253,165,Sunil,36,1,A1
254,167,Somu Kumar,29,1,A1
255,168,Nagaraj Rao,29,1,A1
256,168,Nasir Desai,39,1,A2
257,168,Ramesh Rai,47,1,A3
258,169,Srinivas,52,1,A1
259,170,Karthik Nayak,44,1,A1
260,171,Nagaraj,56,1,A1
261,172,Manoj,58,1,A1
262,173,Suresh,59,1,A1
263,173,Raju Rao,49,1,A2
264,174,Manjunath Iyer,33,1,A1
265,175,Raghu Achar,46,1,A1
266,175,Suresh Shetty,43,1,A2
267,175,Guru,48,1,A3
268,176,Mahesh,49,1,A1
269,178,Kiran Gowda,34,1,A1
270,179,Sandeep Kumar,52,1,A1
271,179,Salim,20,1,A2
272,180,Ganesh,65,1,A1
273,181,Ramesh,61,1,A1
274,181,Iqbal,47,1,A2
275,181,Chandru,60,1,A3
276,181,Sudha,36,2,A4
277,181,Ganesh,19,1,A5
278,182,Girish,18,1,A1
279,183,Srinivas,51,1,A1
280,183,Ganesh,55,1,A2
281,183,Girish Kumar,19,1,A3
282,184,Ganesh Desai,48,1,A1
283,185,Rafiq,31,1,A1
284,186,Geetha,36,2,A1
285,187,Raju,33,1,A1
286,188,Ravi Nayak,34,1,A1
287,188,Chandru Kulkarni,55,1,A2
288,188,Meena,37,2,A3
289,188,Geetha Khan,57,2,A4
290,188,Dinesh Shetty,49,1,A5
291,188,Ajay Naik,32,1,A6
292,189,Imran Desai,31,1,A1
293,190,Santosh Sheikh,40,1,A1
294,190,Rekha Naik,28,2,A2
295,191,Altaf Naidu,55,1,A1
296,192,Chaitra Reddy,48,2,A1
297,193,Manjunath Rai,18,1,A1
298,193,Manoj Urs,20,1,A2
299,193,Ramesh Patil,57,1,A3
300,193,Santosh Patil,16,1,A4
301,194,Srinivas,36,1,A1
302,195,Sandeep,18,1,A1
303,195,Rohit Gowda,30,1,A2
304,195,Shabbir Urs,42,1,A3
305,195,Altaf,16,1,A4
306,196,Naveen Urs,43,1,A1
307,197,Anand,57,1,A1
308,199,Selvam,50,1,A1
309,199,Srinivas,20,1,A2
310,199,Deepak,61,1,A3
311,199,Ashok,64,1,A4
312,199,Farooq Bhat,46,1,A5
313,200,Vani Naidu,51,2,A1
314,201,Vijay Prasad,18,1,A1
315,202,Naveen Kumar,57,1,A1
316,203,Rafiq Bhat,20,1,A1
317,204,Muthu Shetty,42,1,A1
318,204,Ramesh,31,1,A2
319,205,Dinesh Urs,55,1,A1
320,206,Muthu,46,1,A1
321,207,Nagaraj Poojari,54,1,A1
322,208,Sagar Kumar,48,1,A1
323,208,Raghu,52,1,A2
324,208,Guru,29,1,A3
325,209,Roopa Patil,26,2,A1
326,210,Suresh Urs,41,1,A1
327,210,Deepak Sheikh,56,1,A2
328,210,Sunil,48,1,A3
329,210,Naveen Naidu,32,1,A4
330,211,Dinesh,55,1,A1
331,212,Shabbir Kumar,16,1,A1
332,213,Kavitha Urs,36,2,A1
333,213,Guru Setty,17,1,A2
334,214,Harish Achar,50,1,A1
335,215,Manjunath,26,1,A1
336,217,Swathi Kumar,42,2,A1
337,218,Nasir Naidu,63,1,A1
338,219,Muthu,32,1,A1
339,220,Vijay Kulkarni,42,1,A1
340,221,Nagaraj Nayak,57,1,A1
341,223,Ganesh Prasad,18,1,A1
342,224,Anand,44,1,A1
343,225,Raju,27,1,A1
344,226,Manjunath Khan,33,1,A1
345,229,Pallavi Setty,48,2,A1
346,230,Deepak Hegde,59,1,A1
347,230,Girish,35,1,A2
348,230,Vijay Gowda,37,1,A3
349,232,Vishal Patil,47,1,A1
350,233,Imran,42,1,A1
351,234,Vinod,19,1,A1
352,235,Sagar Reddy,29,1,A1
353,236,Selvam Sheikh,53,1,A1
354,236,Prasad,20,1,A2
355,237,Ramesh,17,1,A1
356,238,Yusuf Poojari,60,1,A1
357,239,Selvam Rai,62,1,A1
358,239,Ravi Hegde,34,1,A2
359,240,Sunil,48,1,A1
360,241,Harish Gowda,53,1,A1
361,242,Arjun Reddy,64,1,A1
362,243,Vishal Khan,52,1,A1
363,245,Bhavani Prasad,22,2,A1
364,247,Prasad Rao,25,1,A1
365,247,Vijay Setty,50,1,A2
366,247,Dinesh Sheikh,56,1,A3
367,248,Nagaraj,16,1,A1
368,249,Radha Gowda,20,2,A1
369,250,Chandru Achar,32,1,A1
370,251,Karthik,37,1,A1
371,251,Basavaraj Khan,56,1,A2
372,252,Arjun Iyer,46,1,A1
373,253,Raju Naidu,19,1,A1
374,254,Nagaraj,32,1,A1
375,255,Yusuf Desai,36,1,A1
376,256,Manoj Naidu,18,1,A1
377,257,Sandeep,39,1,A1
378,257,Srinivas Khan,30,1,A2
379,258,Prakash Rai,42,1,A1
380,259,Somu,54,1,A1
381,260,Nagaraj Rao,30,1,A1
382,260,Nasir Desai,40,1,A2
383,260,Ramesh Rai,46,1,A3
384,260,Srinivas Rao,25,1,A4
385,260,Savitri,25,2,A5
386,260,Sandeep,52,1,A6
387,260,Dinesh Rai,29,1,A7
388,260,Raju Poojari,16,1,A8
389,261,Naveen Urs,43,1,A1
390,262,Anand Reddy,61,1,A1
391,263,Raghu,30,1,A1
392,264,Sandeep Iyer,46,1,A1
393,265,Yogesh Kulkarni,29,1,A1
394,265,Srinivas,45,1,A2
395,265,Mahesh Setty,24,1,A3
396,265,Prasad Naidu,50,1,A4
397,265,Yogesh,44,1,A5
398,265,Anand,59,1,A6
399,265,Deepak Urs,45,1,A7
400,266,Sagar Poojari,51,1,A1
401,267,Sandeep,43,1,A1
402,268,Kiran,29,1,A1
403,270,Basavaraj,30,1,A1
404,270,Rafiq,24,1,A2
405,270,Sandeep,49,1,A3
406,270,Girish Nayak,38,1,A4
407,270,Nasir Sheikh,22,1,A5
408,270,Rafiq,33,1,A6
409,271,Anwar Naidu,48,1,A1
410,271,Dinesh,26,1,A2
411,271,Somu,61,1,A3
412,271,Manoj,24,1,A4
413,272,Manjunath Iyer,46,1,A1
414,273,Karthik Gowda,36,1,A1
415,274,Farooq Hegde,42,1,A1
416,274,Kavitha,60,2,A2
417,274,Chandru,53,1,A3
418,274,Chandru,52,1,A4
419,275,Raghu,30,1,A1
420,276,Guru Gowda,39,1,A1
421,276,Yusuf Bhat,39,1,A2
422,277,Salim Sheikh,31,1,A1
423,277,Sowmya,29,2,A2
424,278,Dinesh Kulkarni,27,1,A1
425,279,Vishal Naik,29,1,A1
426,280,Naveen Shetty,39,1,A1
427,281,Yogesh Hegde,36,1,A1
428,282,Swathi,45,2,A1
429,283,Iqbal,34,1,A1
430,283,Rafiq Sheikh,63,1,A2
431,283,Altaf,46,1,A3
432,283,Prasad Rai,51,1,A4
433,283,Ashok,28,1,A5
434,284,Srinivas,35,1,A1
435,285,Muthu Poojari,33,1,A1
436,286,Srinivas,19,1,A1
437,287,Rafiq Bhat,63,1,A1
438,287,Shankar,26,1,A2
439,287,Altaf Naidu,20,1,A3
440,287,Kavitha,18,2,A4
441,287,Ramesh Rao,38,1,A5
442,287,Yusuf Patil,55,1,A6
443,287,Mahesh Naik,18,1,A7
444,289,Santosh,39,1,A1
445,290,Swathi,29,2,A1
446,292,Vishal Khan,28,1,A1
447,292,Rashmi,28,2,A2
448,292,Ganesh Gowda,63,1,A3
449,292,Raghu,28,1,A4
450,292,Suresh Hegde,33,1,A5
451,292,Shankar Urs,61,1,A6
452,292,Salim Patil,60,1,A7
453,293,Guru,39,1,A1
454,295,Ramesh Shetty,18,1,A1
455,295,Prasad Rao,26,1,A2
456,295,Lakshmi Naik,47,2,A3
457,295,Iqbal Hegde,50,1,A4
458,295,Nagaraj Prasad,52,1,A5
459,295,Ayesha Sheikh,27,2,A6
460,296,Santosh Nayak,22,1,A1
461,297,Srinivas,18,1,A1
462,298,Vishal Sheikh,43,1,A1
463,298,Prakash Rai,32,1,A2
464,298,Shanthi Gowda,55,2,A3
465,299,Manoj Naik,29,1,A1
466,300,Vijay Rao,51,1,A1
467,301,Latha Prasad,45,2,A1
468,302,Karthik,16,1,A1
469,302,Nagaraj Setty,58,1,A2
470,303,Ashok,16,1,A1
471,304,Mahesh,43,1,A1
472,304,Ashok Shetty,49,1,A2
473,304,Srinivas Khan,21,1,A3
474,305,Sudha,33,2,A1
475,305,Shankar,31,1,A2
476,305,Naveen Reddy,40,1,A3
477,306,Ramesh Rao,37,1,A1
478,307,Manoj Rao,43,1,A1
479,308,Basavaraj Hegde,35,1,A1
480,309,Arjun Naik,30,1,A1
481,310,Sagar Rao,57,1,A1
482,311,Selvam Sheikh,53,1,A1
483,312,Harish Gowda,53,1,A1
484,313,Suresh Achar,29,1,A1
485,314,Selvam Sheikh,51,1,A1
486,314,Prasad Sheikh,50,1,A2
487,314,Somu,36,1,A3
488,315,Ravi,61,1,A1
489,316,Anwar Prasad,37,1,A1
490,317,Deepak Kulkarni,38,1,A1
491,319,Jyothi Setty,17,2,A1
492,319,Sandeep Setty,59,1,A2
493,319,Prakash,17,1,A3
494,320,Vishal Poojari,24,1,A1
495,320,Altaf,38,1,A2
496,320,Raghu Setty,62,1,A3
497,321,Naveen,55,1,A1
498,321,Vinod,30,1,A2
499,321,Guru,47,1,A3
500,322,Yogesh Achar,63,1,A1
501,323,Chandru Reddy,23,1,A1
502,323,Harish,40,1,A2
503,323,Kiran,37,1,A3
504,323,Naveen,51,1,A4
505,325,Prakash,37,1,A1
506,325,Suresh,26,1,A2
507,326,Ashok Shetty,41,1,A1
508,326,Suresh,51,1,A2
509,327,Deepak Hegde,45,1,A1
510,328,Vinod Naidu,62,1,A1
511,328,Ramesh Rao,44,1,A2
512,329,Basavaraj,30,1,A1
513,329,Rafiq,25,1,A2
514,329,Sandeep,47,1,A3
515,330,Raju Rao,34,1,A1
516,331,Girija Naik,50,2,A1
517,331,Yusuf,37,1,A2
518,332,Chandru Achar,32,1,A1
519,333,Shivu Rao,47,1,A1
520,334,Guru,22,1,A1
521,335,Vinod Reddy,54,1,A1
522,336,Manjunath Poojari,27,1,A1
523,336,Yogesh Achar,47,1,A2
524,337,Raju Reddy,46,1,A1
525,338,Ramesh Prasad,41,1,A1
526,338,Yusuf Kumar,31,1,A2
527,338,Ravi Khan,35,1,A3
528,338,Sunil,23,1,A4
529,338,Manoj Poojari,47,1,A5
530,338,Farooq Prasad,57,1,A6
531,338,Ravi Poojari,62,1,A7
532,338,Manjunath,48,1,A8
533,339,Yogesh Kulkarni,38,1,A1
534,339,Shivu Gowda,35,1,A2
535,340,Basavaraj Poojari,19,1,A1
536,341,Prakash,39,1,A1
537,341,Sagar,55,1,A2
538,341,Anand Patil,49,1,A3
539,342,Selvam Patil,24,1,A1
540,342,Prema Shetty,42,2,A2
541,342,Anitha Patil,16,2,A3
542,343,Dinesh,65,1,A1
543,343,Vani Gowda,60,2,A2
544,344,Muthu Rai,39,1,A1
545,346,Sagar Naidu,20,1,A1
546,346,Imran Shetty,33,1,A2
547,347,Muthu,46,1,A1
548,348,Raghu Khan,17,1,A1
549,350,Yusuf Sheikh,36,1,A1
550,351,Suresh Achar,35,1,A1
551,352,Srinivas Naik,19,1,A1
552,353,Prakash,28,1,A1
553,354,Altaf Naik,33,1,A1
554,355,Ayesha Patil,50,2,A1
555,356,Imran,31,1,A1
556,356,Anwar Achar,56,1,A2
557,357,Suresh Setty,50,1,A1
558,358,Suresh,61,1,A1
559,359,Selvam,38,1,A1
560,360,Girish Poojari,39,1,A1
561,361,Anand Kumar,50,1,A1
562,361,Yusuf Poojari,49,1,A2
563,361,Yogesh,51,1,A3
564,361,Anwar Prasad,20,1,A4
565,361,Basavaraj Patil,47,1,A5
566,361,Sandeep Poojari,58,1,A6
567,362,Guru Shetty,53,1,A1
568,363,Basavaraj,41,1,A1
569,364,Vijay,24,1,A1
570,365,Altaf Hegde,54,1,A1
571,366,Yogesh,26,1,A1
572,367,Muthu Sheikh,48,1,A1
573,368,Ramesh Iyer,17,1,A1
574,370,Shankar,20,1,A1
575,371,Raju Naik,32,1,A1
576,372,Chandru Kulkarni,19,1,A1
577,374,Vijay Setty,49,1,A1
578,375,Anwar Prasad,27,1,A1
579,375,Shankar Prasad,63,1,A2
580,376,Altaf Rao,51,1,A1
581,377,Yogesh Achar,47,1,A1
582,378,Sheela,24,2,A1
583,378,Latha Naik,51,2,A2
584,379,Suresh,17,1,A1
585,380,Salim Reddy,59,1,A1
586,380,Shabbir,51,1,A2
587,382,Chandru,47,1,A1
588,382,Prakash Gowda,19,1,A2
589,383,Manjula,27,2,A1
590,383,Prakash,41,1,A2
591,384,Geetha Patil,43,2,A1
592,385,Sagar,52,1,A1
593,386,Rohit Sheikh,36,1,A1
594,386,Dinesh Kulkarni,55,1,A2
595,386,Manjula Kumar,19,2,A3
596,387,Mahesh Shetty,62,1,A1
597,387,Yusuf,35,1,A2
598,387,Radha Hegde,26,2,A3
599,387,Suresh,20,1,A4
600,387,Rekha Setty,60,2,A5
601,388,Sunil,44,1,A1
602,389,Rafiq Naik,26,1,A1
603,389,Ramesh,62,1,A2
604,389,Anand Gowda,27,1,A3
605,390,Yusuf,37,1,A1
606,391,Rohit Achar,49,1,A1
607,391,Imran Reddy,40,1,A2
608,392,Nandini Sheikh,43,2,A1
609,393,Selvam Hegde,32,1,A1
610,393,Vinod Iyer,30,1,A2
611,393,Dinesh,34,1,A3
612,394,Raghu,64,1,A1
613,395,Farooq,21,1,A1
614,396,Suresh Setty,19,1,A1
615,397,Ashok Kumar,18,1,A1
616,397,Raju Shetty,52,1,A2
617,398,Shobha Hegde,29,2,A1
618,398,Kiran Nayak,43,1,A2
619,398,Salim,26,1,A3
620,399,Dinesh Patil,25,1,A1
621,399,Deepak,28,1,A2
622,399,Anand Nayak,25,1,A3
623,399,Prakash Shetty,23,1,A4
624,401,Guru Poojari,64,1,A1
625,401,Rohit Sheikh,34,1,A2
626,402,Mahesh Khan,32,1,A1
627,403,Girija Poojari,49,2,A1
628,403,Sagar,38,1,A2
629,403,Imran,42,1,A3
630,404,Somu,45,1,A1
631,404,Selvam,34,1,A2
632,405,Shabbir,64,1,A1
633,405,Shivu Rai,27,1,A2
634,407,Suresh Naik,52,1,A1
635,407,Nasir,52,1,A2
636,408,Ravi,28,1,A1
637,409,Manoj Kumar,57,1,A1
638,410,Mahesh,53,1,A1
639,411,Girish Iyer,43,1,A1
640,411,Basavaraj Patil,19,1,A2
641,412,Shabbir,64,1,A1
642,413,Kavitha Setty,47,2,A1
643,415,Ashok,33,1,A1
644,415,Yusuf,28,1,A2
645,415,Ganesh Naidu,36,1,A3
646,415,Rafiq Setty,47,1,A4
647,416,Anand Sheikh,54,1,A1
648,417,Ganesh,45,1,A1
649,418,Yusuf,40,1,A1
650,418,Prasad,21,1,A2
651,418,Suresh Naidu,49,1,A3
652,418,Dinesh,24,1,A4
653,418,Rafiq,63,1,A5
654,418,Ajay,18,1,A6
655,418,Rukhsana Reddy,56,2,A7
656,418,Sunil Nayak,27,1,A8
657,419,Farooq Shetty,34,1,A1
658,419,Srinivas Rao,47,1,A2
659,420,Sunil Gowda,23,1,A1
660,420,Imran,43,1,A2
661,421,Guru Rai,24,1,A1
662,422,Ayesha Rao,17,2,A1
663,423,Muthu,60,1,A1
664,424,Prakash Setty,52,1,A1
665,425,Yogesh Poojari,39,1,A1
666,426,Anand Kumar,35,1,A1
667,427,Iqbal,58,1,A1
668,428,Nagaraj,29,1,A1
669,429,Somu,19,1,A1
670,430,Nagaraj,24,1,A1
671,431,Manjunath,30,1,A1
672,432,Sagar Naidu,34,1,A1
673,433,Deepak Nayak,48,1,A1
674,434,Somu Hegde,54,1,A1
675,434,Ramesh Reddy,58,1,A2
676,435,Srinivas Naik,58,1,A1
677,436,Farooq Shetty,34,1,A1
678,437,Sheela,43,2,A1
679,437,Deepak Kumar,49,1,A2
680,438,Anand Iyer,26,1,A1
681,438,Ashok,27,1,A2
682,438,Farooq Iyer,65,1,A3
683,439,Shanthi,64,2,A1
684,440,Kiran Setty,42,1,A1
685,441,Anand Kulkarni,39,1,A1
686,442,Kiran,24,1,A1
687,442,Rafiq Sheikh,29,1,A2
688,442,Nagaraj Poojari,59,1,A3
689,442,Ganesh Reddy,45,1,A4
690,442,Ajay,65,1,A5
691,443,Sagar,54,1,A1
692,443,Sunil,48,1,A2
693,445,Guru,20,1,A1
694,445,Guru,30,1,A2
695,446,Sudha Hegde,16,2,A1
696,447,Basavaraj Poojari,28,1,A1
697,447,Naveen Kulkarni,35,1,A2
698,448,Arjun,43,1,A1
699,448,Priya Kumar,53,2,A2
700,448,Manjunath,44,1,A3
701,450,Ayesha Kumar,65,2,A1
702,451,Deepak Iyer,51,1,A1
703,452,Vishal Poojari,29,1,A1
704,453,Sudha,28,2,A1
705,453,Ganesh,61,1,A2
706,455,Rafiq Bhat,22,1,A1
707,456,Yogesh Hegde,45,1,A1
708,457,Vijay,40,1,A1
709,458,Vijay Iyer,46,1,A1
710,458,Anwar,48,1,A2
711,459,Manjunath,23,1,A1
712,460,Basavaraj,25,1,A1
713,461,Kavitha Naidu,59,2,A1
714,462,Kiran,46,1,A1
715,463,Vishal Desai,38,1,A1
716,464,Kiran Poojari,61,1,A1
717,465,Shabbir Shetty,23,1,A1
718,466,Shankar Poojari,57,1,A1
719,466,Iqbal Kumar,51,1,A2
720,467,Kiran Rai,52,1,A1
721,467,Santosh,28,1,A2
722,468,Ajay,44,1,A1
723,469,Yogesh,46,1,A1
724,470,Basavaraj Achar,24,1,A1
725,471,Jyothi,19,2,A1
726,471,Sandeep Sheikh,39,1,A2
727,471,Manjula,28,2,A3
728,471,Shobha Desai,37,2,A4
729,471,Kavitha Hegde,30,2,A5
730,471,Raghu Reddy,47,1,A6
731,471,Nasir Rai,61,1,A7
732,471,Deepak Sheikh,21,1,A8
733,471,Yogesh Achar,60,1,A9
734,472,Rohit,59,1,A1
735,473,Arjun Poojari,43,1,A1
736,474,Usha Bhat,36,2,A1
737,474,Prakash Naik,63,1,A2
738,475,Rohit Patil,37,1,A1
739,475,Ashok,18,1,A2
740,476,Deepak,50,1,A1
741,477,Mary Naik,58,2,A1
742,478,Altaf Rai,31,1,A1
743,479,Ganesh Hegde,52,1,A1
744,479,Ajay Desai,62,1,A2
745,480,Sunil Hegde,49,1,A1
746,481,Nandini Sheikh,28,2,A1
747,483,Manoj Bhat,49,1,A1
748,483,Harish Prasad,26,1,A2
749,483,Srinivas Setty,35,1,A3
