ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
125,117,Selvam Jain,40,3,1,8,1
126,118,Guru Reddy,33,1,1,1,1
127,119,Radha Achari,38,14,1,1,2
128,120,Puttaraju Kumar,37,1,1,2,1
129,121,Nagaraj Iyer,18,7,1,4,1
130,122,Dinesh,34,12,2,4,1
131,123,Divya Jain,23,7,2,1,2
132,124,Prasad Pujari,48,9,1,3,1
133,125,Rafiq Iyer,53,14,1,7,1
134,125,Pushpa Sharma,48,3,1,3,2
135,126,Halappa Gowda,33,16,1,7,1
136,127,Javed Kumar,42,8,1,4,1
137,128,Mahesh Bandi,18,1,1,2,1
138,129,Ajay Sheikh,50,14,1,4,1
139,130,Farooq Jain,18,9,1,4,1
140,131,Roopa,30,4,1,8,2
141,132,Ajay Patil,55,17,1,4,1
142,133,Vijay Pillai,46,4,3,5,1
143,134,Gurunath Yadav,49,6,1,3,1
144,135,Mahesh Poojari,44,10,1,4,1
145,136,Ravi,46,12,1,2,1
146,137,Halappa Patil,65,7,1,4,1
147,138,Krishna Rai,25,1,1,3,1
148,139,Manjula,43,1,1,7,2
149,140,Savitri,43,9,1,3,2
150,141,Suresh Desai,30,7,1,4,1
151,142,Salim Chavan,41,2,1,5,1
152,143,Kavya Chavan,29,7,1,7,2
153,144,Leela Pujari,23,4,1,4,2
154,145,Sunanda,66,7,1,3,2
155,146,Sarala Jain,51,5,1,8,2
156,147,Sandeep Nayak,46,9,1,8,1
157,148,Radha Desai,30,4,1,3,2
158,149,Girish Patil,37,5,1,5,1
159,150,Sarala Bhat,33,11,1,8,2
160,151,Rakesh Khan,29,5,4,6,1
161,152,Manjunath Patil,31,2,1,8,1
162,153,Pallavi Iyer,29,7,1,2,2
163,153,Radha Shetty,57,2,1,7,2
164,153,Mallikarjun Sharma,80,7,1,7,1
165,154,Ajay Kabadi,32,15,1,1,1
166,155,Zeenath Bandi,22,12,1,4,2
167,156,Shanthi Reddy,18,18,1,2,2
168,157,Vijay Achari,59,9,2,1,1
169,158,Naveen Rao,43,12,1,8,1
170,159,Farooq Sharma,30,5,1,1,1
171,160,Manjunath Achar,35,11,1,1,1
172,161,Shanthi Kumar,42,12,1,5,2
173,162,Somu Bhat,53,6,1,2,1
174,163,Harish Hegde,31,1,2,4,1
175,164,Leela Kumar,37,5,1,1,2
176,165,Girish,38,7,1,8,1
177,166,Yusuf,29,12,1,1,1
178,167,Meena Pillai,45,12,1,3,2
179,168,Bhagya Shetty,23,1,1,3,2
180,169,Selvam Nayak,21,16,1,8,1
181,170,Gurunath Poojari,24,14,1,1,1
182,171,Zeenath Patil,54,5,1,6,2
183,172,Roopa Pillai,26,18,1,2,2
184,173,Manoj Pujari,43,11,1,3,1
185,174,Kamala Iyer,32,16,1,5,2
186,175,Lakshmi Kumar,71,14,1,3,2
187,176,Lokesh Patil,40,2,1,3,1
188,177,Guru Patil,37,4,1,8,1
189,178,Siddappa Bhat,53,11,1,5,1
190,179,Shobha Jain,51,1,1,6,3
191,180,Uma Menon,51,15,2,6,2
192,180,Netravathi Urs,43,7,1,1,2
193,180,Chandru,27,13,1,5,1
194,181,Imran Rao,34,5,1,4,1
195,182,Prasad Yadav,31,13,1,5,1
196,183,Devraj Rai,37,13,1,2,1
197,184,Rekha Rao,56,4,1,4,2
198,185,Mallikarjun,23,10,1,5,1
199,186,Ravi Khan,18,1,1,5,1
200,187,Leela Chavan,29,1,2,4,2
201,188,Ramesh Yadav,27,11,1,3,1
202,189,Ajay Menon,45,4,6,3,1
203,190,Malati Nayak,38,6,1,1,2
204,191,Ayesha Jain,44,15,2,8,2
205,192,Vijay Rao,18,7,1,3,1
206,193,Rakesh Rai,43,4,1,7,1
207,194,Ganesh Iyer,44,5,1,1,1
208,195,Girish Desai,45,5,1,4,1
209,196,Dinesh,49,13,1,8,1
210,197,Devraj Rai,36,1,1,3,1
211,198,Ravi Kumar,30,3,7,6,1
212,199,Devraj Menon,52,8,1,1,1
213,200,Venkatesh Achari,57,9,1,2,1
214,201,Sunanda Pillai,23,1,1,4,2
215,202,Girija Yadav,38,11,1,3,2
216,203,Somu Bandi,53,9,1,7,1
217,204,Sujatha Nayak,51,5,3,3,2
218,205,Shankar Pillai,37,10,1,2,1
219,206,Roopa Sheikh,69,12,1,6,2
220,207,Praveen Achari,25,11,1,4,1
221,208,Farida Bandi,41,4,1,3,2
222,209,Yusuf Kabadi,28,7,3,6,1
223,210,Rakesh Rai,30,10,1,3,1
224,211,Channabasappa Bhat,25,17,1,5,1
225,212,Lokesh Poojari,30,15,1,4,1
226,213,Sudha Naidu,53,6,2,8,2
227,214,Vanaja Pillai,64,14,1,4,2
228,215,Manjula Chavan,31,8,1,8,2
229,216,Selvam Nayak,44,4,1,6,1
230,217,Gurunath Pujari,49,14,2,7,1
231,218,Puttaraju,51,16,1,3,1
232,219,Suresh Pillai,36,8,1,3,1
233,220,Bhagya Patil,27,14,1,6,2
234,221,Savitri Sheikh,18,17,1,3,2
235,222,Basava Shetty,38,13,1,6,1
236,222,Manjunath Rao,18,11,1,4,1
237,223,Devraj Bhat,44,7,1,1,1
238,224,Devraj Rai,46,6,1,3,1
239,225,Shivu Patil,37,3,1,3,1
240,226,Nagaraj Desai,38,18,1,2,1
241,227,Lokesh Chavan,49,15,1,8,1
242,228,Puttaraju Kumar,35,10,1,1,1
243,229,Salim Kabadi,40,4,1,4,1
244,230,Jyothi Kumar,38,4,3,6,2
245,231,Ayesha Khan,39,3,1,1,2
246,232,Divya Rai,36,5,1,1,2
247,233,Devraj Sheikh,45,4,1,6,1
248,234,Ajay Rao,20,3,1,1,1
249,235,Kavya Iyer,34,5,1,3,2
250,236,Ayesha Patil,36,3,1,2,2
251,237,Sowmya Khan,49,6,1,3,2
252,238,Manjunath Jain,42,5,1,7,1
253,239,Ravi Jain,57,9,1,1,1
254,240,Vidya Achar,47,3,1,7,2
255,241,Jyothi Menon,45,8,1,3,2
256,242,Anthony Sharma,63,7,1,8,1
257,243,Pushpa Iyer,60,12,1,4,2
258,244,Manjula Nayak,44,3,1,2,2
259,245,Radha Kabadi,18,12,1,6,2
260,246,Mallikarjun Khan,39,15,7,8,1
261,247,Sarala Yadav,39,2,1,1,2
262,248,Rafiq Pujari,38,9,3,8,1
263,249,Mallikarjun Achar,57,7,1,4,1
264,250,Anwar,40,2,1,1,1
265,251,Roopa Desai,29,8,7,2,2
266,252,Sudha,46,5,1,1,2
267,253,Chandru Chavan,41,14,1,4,1
268,254,Basava Shetty,22,4,2,6,1
269,255,Puttaraju,47,17,1,7,1
270,256,Prasad Naik,33,4,2,3,1
271,257,Gurunath Achari,57,7,5,1,1
272,258,Radha Pujari,36,17,1,7,2
273,259,Iqbal Urs,26,3,1,3,1
274,260,Ramesh Desai,34,4,1,7,1
275,261,Girish,48,5,1,1,1
276,262,Praveen Kulkarni,38,1,1,1,1
277,263,Raju,20,12,1,8,1
278,264,Shankar Kumar,48,4,1,1,1
279,265,Shivu Desai,19,11,1,5,1
280,266,Ganesh Nayak,60,14,1,7,1
281,267,Lokesh Kumar,32,11,1,1,1
282,268,Javed Shetty,53,17,1,3,1
283,269,Savitri,23,8,1,4,2
284,270,Imran Achari,31,4,1,7,1
285,271,Chandru Poojari,38,11,1,1,1
286,272,Krishna Khan,55,15,1,4,1
287,272,Savitri Achari,21,1,1,5,2
288,273,Sudha Chavan,34,10,1,7,2
289,274,Ganesh,41,8,1,2,1
290,274,Rafiq Naik,57,11,1,8,1
291,275,Manjunath,44,4,1,1,1
292,276,Iqbal Hegde,35,4,1,7,1
293,277,Meena Naidu,55,7,1,3,2
294,278,Krishna Naidu,29,10,1,1,1
295,279,Rakesh Achar,35,12,1,1,1
296,280,Kavya Reddy,30,6,1,7,2
297,281,Yashoda Patil,28,14,1,7,2
298,282,Dinesh Yadav,32,2,1,2,1
299,283,Malati Pujari,45,3,1,6,2
300,284,Padma Poojari,46,2,1,3,3
301,285,Ganesh Reddy,50,7,1,6,1
302,286,Vanaja Naik,18,1,1,2,2
303,287,Vijay Naik,37,8,1,1,1
304,288,Savitri Bandi,18,1,1,4,2
305,289,Lokesh Poojari,40,4,2,1,1
306,289,Anitha Sheikh,35,3,1,6,2
307,290,Halappa Kumar,42,13,1,4,1
308,291,Imran Naik,18,4,2,8,1
309,292,Gurunath Khan,47,10,1,1,1
310,293,Ramesh Yadav,41,5,1,5,1
311,294,Prasad Sharma,39,12,1,7,1
312,295,Rakesh,25,12,1,6,1
313,296,Kamala Achari,29,6,1,2,2
314,297,Sandeep Jain,36,7,1,6,1
315,298,Rafiq,44,6,7,3,1
316,299,Vidya Khan,34,14,1,3,2
317,299,Puttaraju Naidu,53,12,1,3,1
318,299,Naveen,43,7,1,2,1
319,300,Basava Kulkarni,50,2,1,3,1
320,301,Shivakumar Poojari,37,2,1,7,1
321,302,Sowmya,22,3,1,1,3
322,303,Renuka Jain,31,3,2,1,2
323,304,Kamala Nayak,40,10,1,5,2
324,305,Basava,29,14,2,1,1
325,306,Krishna Rai,42,4,1,2,1
326,307,Ganesh Khan,18,4,1,7,1
327,308,Anwar Bandi,52,1,1,8,1
328,309,Manoj Rao,45,12,1,3,1
329,310,Ajay Poojari,61,17,1,3,1
330,311,Sarala Iyer,50,12,2,1,2
331,312,Rafiq Rai,30,12,1,6,1
332,313,Mahesh Achari,56,13,1,3,1
333,314,Anitha Achar,31,7,1,8,2
334,315,Devraj Shetty,48,14,1,1,1
335,316,Anitha Rao,61,1,1,3,2
336,317,Basavaraj Khan,38,11,1,2,1
337,318,Uma Desai,32,10,1,2,2
338,319,Krishna,35,6,1,7,1
339,320,Ganesh Poojari,28,9,1,5,1
340,321,Shobha Bhat,34,12,1,1,2
341,322,Mahesh Menon,59,1,1,7,1
342,323,Siddappa Iyer,18,7,1,8,1
343,324,Farooq Rao,18,6,1,5,1
344,325,Farida,51,8,1,8,2
345,326,Shivakumar Patil,32,4,1,1,1
346,327,Sunanda,19,2,1,2,2
347,328,Channabasappa Poojari,18,2,1,2,1
348,329,Somu Nayak,43,2,1,8,1
349,330,Shivu Naidu,49,6,1,2,1
350,331,Mary Rai,40,13,6,1,2
351,332,Harish Desai,29,13,1,1,1
352,333,Guru,33,14,1,1,1
353,334,Sandeep Pillai,35,11,1,1,1
354,335,Ajay,39,9,1,2,1
355,336,Nagaraj,28,10,1,2,1
356,337,Nasir Achari,46,11,1,7,1
357,337,Sandeep Patil,37,9,1,7,1
358,338,Shanthi Bandi,40,8,1,1,2
359,339,Mallikarjun Khan,36,16,1,8,1
360,340,Kavya Naik,18,4,1,3,2
361,341,Kamala Naik,56,14,1,8,2
362,342,Basavaraj,60,3,1,4,1
363,343,Shobha Nayak,32,14,1,1,2
364,344,Anitha Jain,18,5,1,6,2
365,345,Suresh Kumar,57,6,1,4,1
366,346,Padma Khan,35,9,1,6,2
367,347,Salim Kumar,38,11,1,7,1
368,348,Anwar Khan,38,13,1,5,1
369,349,Suresh Sheikh,31,9,4,7,1
370,350,Radha Gowda,46,3,1,3,2
371,351,Divya Pillai,31,6,2,3,2
372,352,Leela Yadav,41,3,1,7,2
373,353,Anthony Desai,24,3,1,8,1
374,354,Dinesh Menon,59,1,3,1,1
375,354,Lakshmi,22,5,1,8,2
376,355,Vidya Rai,66,5,1,4,2
377,356,Manjunath Yadav,28,2,1,5,1
378,357,Vishal Patil,28,7,2,2,1
379,357,Girija Sharma,32,1,1,2,2
380,358,Ajay Yadav,43,2,1,7,1
381,359,Rekha Kabadi,26,17,1,8,2
382,360,Shivu,47,15,1,4,1
383,361,Renuka Bandi,18,3,1,1,2
384,362,Shankar Kabadi,47,9,2,2,1
385,363,Sarala,23,14,1,8,2
386,364,Sunanda Iyer,32,2,1,4,2
387,365,Meena Naik,41,14,2,7,2
388,366,Leela Rai,18,3,1,5,2
389,367,Krishna Nayak,36,7,1,3,1
390,368,Vidya Shetty,34,14,1,8,2
391,369,Javed Kabadi,29,9,1,3,1
392,370,Chandru Jain,55,5,1,7,1
393,371,Farida Jain,22,3,2,1,2
394,372,Nagaraj Menon,35,3,1,4,1
395,373,Geetha Shetty,31,14,1,3,2
396,374,Pallavi Patil,33,1,2,7,2
397,375,Farooq Gowda,29,14,4,6,1
398,376,Anwar Achar,26,3,1,8,1
399,377,Roopa Patil,45,3,1,4,2
400,378,Ganesh Yadav,27,17,2,4,1
401,379,Shankar,70,10,2,2,1
402,380,Vidya Rao,51,12,2,7,2
403,381,Puttaraju Kumar,34,18,1,3,1
404,382,Imran Kabadi,20,3,1,2,1
405,383,Kamala Jain,46,8,1,4,2
406,384,Padma Naidu,53,16,2,5,2
407,385,Shivu Sharma,33,4,2,4,1
408,386,Dinesh,46,15,1,7,1
409,387,Nagaraj Kumar,43,5,1,8,1
410,388,Imran Desai,44,7,1,1,1
411,389,Altaf Bandi,47,7,1,1,1
412,390,Farida Shetty,55,5,1,1,2
413,391,Shivakumar Rao,44,9,1,6,1
414,392,Raju Poojari,54,3,2,2,1
415,393,Yashoda Iyer,68,5,2,3,2
416,394,Farida,18,3,6,1,2
417,395,Vishal Chavan,41,10,1,5,1
418,396,Naveen Achar,26,1,1,3,1
419,397,Basava Menon,37,6,1,4,1
420,398,Ayesha Kulkarni,36,7,1,2,2
421,399,Ravi Gowda,53,5,1,1,1
422,400,Shanthi Achar,18,1,1,1,2
423,401,Manjunath Desai,37,4,1,8,1
424,402,Naveen Jain,32,1,1,7,1
425,403,Meena Sharma,60,10,1,3,2
426,404,Salim,44,13,1,3,1
427,405,Raju Shetty,43,13,1,6,1
428,405,Vijay,21,15,1,4,1
429,406,Channabasappa Achar,54,12,2,4,1
430,407,Zeenath,19,4,1,6,2
431,408,Leela Sheikh,55,5,1,6,2
432,409,Jyothi Yadav,35,10,1,7,2
433,410,Divya,51,7,1,1,3
434,411,Suresh Rai,32,7,1,3,1
435,412,Iqbal Hegde,49,4,6,7,1
436,413,Basavaraj Achar,45,13,1,8,1
437,414,Padma Yadav,27,13,2,7,2
438,415,Yashoda Yadav,40,5,1,1,2
439,416,Mahesh Achari,34,11,1,1,1
440,417,Ayesha,52,9,1,8,2
441,418,Selvam Kulkarni,38,9,1,1,1
442,419,Rakesh Kumar,34,17,1,6,1
443,420,Rakesh Rao,43,11,1,7,1
444,421,Yashoda Rao,18,14,1,5,2
445,422,Krishna Poojari,31,5,1,7,1
446,423,Uma Khan,39,8,1,1,2
447,424,Mary Chavan,45,7,1,6,2
448,425,Rakesh Yadav,36,11,1,7,1
449,426,Nasreen Rao,47,1,1,2,2
450,427,Nandini Rai,45,11,1,7,2
451,428,Meena Yadav,36,12,1,2,2
452,429,Manjula Rai,18,16,1,8,2
453,430,Praveen,37,14,2,3,1
454,430,Harish Chavan,29,5,1,6,1
455,431,Shobha Naidu,42,17,1,1,2
456,432,Anthony Naik,37,14,1,4,1
457,433,Shivakumar Bandi,53,10,1,4,1
458,434,Uma Naidu,31,7,1,1,2
459,435,Mahesh Reddy,32,4,3,5,1
460,436,Gurunath Achar,28,2,1,2,1
461,437,Jyothi Yadav,46,13,1,2,2
462,438,Siddappa Urs,30,7,1,4,1
463,439,Uma Kulkarni,52,7,1,1,2
464,440,Nasreen Reddy,64,7,1,8,2
465,441,Sarala Kumar,56,1,1,1,2
466,442,Farooq Iyer,40,5,1,3,1
467,443,Rajeshwari,37,12,1,7,2
468,444,Manoj Poojari,33,9,1,8,1
469,445,Geetha Bhat,41,13,2,2,2
470,446,Salim Achar,57,8,1,1,1
471,447,Mallikarjun Desai,31,15,1,3,1
472,448,Vijay Pujari,56,13,1,1,1
473,449,Padma Bhat,54,4,1,5,2
474,450,Puttaraju Kulkarni,45,4,1,1,1
475,451,Puttaraju Naik,46,13,3,1,1
476,452,Nasreen Urs,50,2,1,7,2
477,453,Shivu Kulkarni,45,14,2,1,1
478,454,Harish,52,1,1,4,1
479,455,Krishna Reddy,50,8,7,4,1
480,456,Farooq Naik,29,12,1,4,1
481,457,Devraj,40,17,1,7,1
482,458,Sandeep Yadav,68,14,1,6,1
483,459,Gurunath Desai,37,10,1,7,1
484,460,Sudha,46,10,1,8,2
485,461,Javed Bhat,27,5,1,7,1
486,462,Farooq Urs,33,13,1,7,1
487,463,Guru Sheikh,53,3,1,3,1
488,464,Farooq Nayak,46,11,1,4,1
489,465,Venkatesh,53,3,1,1,1
490,466,Anthony Rao,42,17,1,4,1
491,467,Manjula Reddy,18,14,1,7,2
492,468,Kavya Rao,49,4,1,3,2
493,469,Farooq Kumar,44,14,1,3,1
494,470,Yusuf Pujari,43,1,1,4,1
495,471,Guru Bhat,49,12,1,4,1
496,472,Siddappa Achari,18,7,1,3,1
497,473,Leela,47,3,2,2,2
498,474,Selvam,48,12,1,4,1
499,475,Somu Nayak,33,6,1,2,1
500,476,Dinesh Yadav,41,5,1,4,1
501,477,Praveen Gowda,53,12,1,1,1
502,478,Farooq Menon,36,17,1,4,1
503,479,Renuka Menon,49,9,1,7,2
504,480,Manjunath,41,3,1,1,1
505,481,Renuka Poojari,34,16,2,5,2
506,482,Puttaraju Rao,22,4,1,5,1
507,483,Vijay Urs,38,3,7,7,1
508,484,Rakesh Achar,38,12,1,1,1
509,485,Sunanda Kabadi,35,3,2,4,2
510,486,Naveen Rao,54,4,3,7,1
511,487,Leela Hegde,53,12,1,8,2
512,487,Rafiq Jain,34,1,1,1,1
513,488,Rekha Iyer,51,1,2,2,3
514,489,Radha,34,16,1,3,2
515,490,Javed Khan,45,4,1,2,1
516,491,Renuka Bandi,56,2,2,6,2
517,492,Gurunath Rai,44,4,2,7,1
518,493,Anwar Khan,28,7,1,7,1
519,494,Halappa Bhat,48,14,1,3,1
520,495,Shivakumar Achar,40,10,1,1,1
521,496,Kavya Sheikh,34,5,1,3,2
522,497,Savitri Gowda,68,6,1,8,2
523,498,Roopa Bhat,27,2,3,1,2
524,499,Chandru Sharma,42,14,1,6,1
525,500,Praveen Rai,23,1,2,4,1
526,501,Suresh Urs,48,8,3,2,1
527,502,Shankar Reddy,22,7,5,2,1
528,503,Channabasappa Sharma,29,1,1,4,1
529,504,Netravathi Nayak,23,5,2,1,2
530,504,Shivakumar Poojari,45,11,1,3,1
531,505,Savitri Rao,50,3,1,6,2
532,506,Pallavi Patil,35,2,1,7,2
533,507,Krishna Desai,51,1,3,3,1
534,508,Zeenath Kumar,48,7,1,1,2
535,509,Shanthi Jain,28,6,4,6,2
536,510,Harish Sharma,35,8,1,5,1
537,511,Mallikarjun Desai,27,4,1,1,1
538,512,Kamala Bhat,42,1,2,8,2
539,513,Halappa Pujari,38,5,1,4,1
540,514,Javed Kabadi,39,5,1,3,1
541,515,Renuka Yadav,35,7,1,1,2
542,516,Vishal Pujari,55,6,1,4,1
543,517,Mallikarjun,47,2,1,1,1
544,518,Somu Poojari,36,12,1,3,1
545,519,Manjunath Kumar,57,1,1,1,1
546,520,Chaitra Bandi,45,11,1,8,2
547,521,Shobha Bandi,52,3,1,8,3
548,522,Salim,47,16,1,2,1
549,523,Nagaraj Reddy,46,6,1,7,1
550,524,Ramesh,36,1,1,4,1
551,525,Manjunath Shetty,51,16,7,5,1
552,526,Rajeshwari Kumar,47,7,1,4,2
553,527,Iqbal Achar,33,2,2,4,1
554,528,Basava Naik,27,3,1,6,1
555,529,Padma Rao,43,4,1,1,2
556,530,Anwar Pujari,46,14,1,2,1
557,531,Rajeshwari Reddy,24,8,1,3,2
558,532,Siddappa Rai,35,13,1,7,1
559,533,Naveen,30,7,1,5,1
560,534,Imran,28,16,1,4,1
561,535,Harish,18,6,1,6,1
562,536,Basavaraj Kabadi,27,4,3,8,1
563,537,Rajeshwari Reddy,29,9,1,7,2
564,538,Harish Yadav,36,6,1,7,1
565,539,Krishna Yadav,61,6,1,2,1
566,540,Girish Chavan,74,6,1,5,1
567,540,Somu Bhat,46,17,1,3,1
568,541,Yashoda,33,2,2,1,2
569,542,Shivakumar,46,4,1,4,1
570,542,Sowmya,21,6,1,2,2
571,543,Anthony Desai,23,3,1,3,1
572,544,Basava Kabadi,31,15,1,2,1
573,545,Manjunath Khan,39,13,1,7,1
574,546,Lokesh Khan,26,1,1,3,1
575,547,Mallikarjun Nayak,29,1,1,3,1
576,548,Devraj,37,6,1,1,1
577,549,Javed,33,7,1,1,1
578,550,Chandru Naik,40,3,1,6,1
579,551,Channabasappa Yadav,42,10,1,3,1
580,552,Nasir Naidu,35,18,1,8,1
581,553,Basavaraj Sheikh,41,12,2,1,1
582,554,Sowmya Kabadi,49,4,1,7,2
583,555,Suresh Bhat,41,12,1,5,1
584,556,Geetha Sharma,52,10,1,1,2
585,556,Basava Rai,18,1,1,6,1
586,557,Naveen,44,14,1,2,1
587,558,Meena Shetty,47,3,1,3,2
588,559,Ramesh Poojari,27,4,1,1,1
589,560,Harish Rao,37,4,1,8,1
590,561,Roopa Nayak,42,15,1,1,2
591,561,Shankar Chavan,33,8,1,2,1
592,562,Guru Kumar,26,8,1,1,1
593,563,Sujatha Iyer,70,2,3,8,2
594,564,Salim,37,4,2,6,1
595,565,Ayesha Poojari,18,15,3,2,2
596,566,Anwar,47,18,1,5,1
597,567,Farooq Urs,56,2,2,4,1
598,568,Raju Kumar,47,3,1,3,1
599,569,Ayesha Yadav,58,1,2,8,2
600,569,Vanaja Jain,36,6,1,3,2
601,570,Girija Patil,22,9,1,7,2
602,571,Iqbal Sharma,25,1,7,4,1
603,572,Padma Bandi,35,4,1,2,2
604,573,Halappa Khan,35,1,1,1,1
605,574,Salim Naidu,43,11,1,3,1
606,575,Rakesh Sharma,18,3,1,2,1
607,576,Lakshmi Kulkarni,53,9,1,6,2
608,577,Renuka Patil,48,8,1,1,2
609,578,Sowmya Kumar,46,6,1,7,2
610,579,Vishal Reddy,55,1,1,1,1
611,580,Ganesh Shetty,39,7,1,1,1
612,581,Praveen Chavan,53,8,2,1,1
613,582,Sudha Rai,26,4,2,1,2
614,583,Shankar Yadav,18,11,1,7,1
615,584,Rakesh Rai,46,5,1,1,1
616,585,Manoj Kulkarni,43,11,1,4,1
